Category	Value
UNK:UNK	"The color is even prettier than I thought it would be, and the graphics are incredibly sharp."
UNK:UNK	All in all I think it was a good investment.
UNK:UNK	It makes very strange ticking noises before it ends the call.
UNK:UNK	The best electronics of the available FM Transmitters.
UNK:UNK	Battery lasts only a few hours.
UNK:UNK	"great headset, very impressed - H500."
UNK:UNK	"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7."
UNK:UNK	I've had this for nearly 2 years and it has worked great for me.
UNK:UNK	Good transmit audio.
UNK:UNK	We are sending it back.
UNK:UNK	I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.
UNK:UNK	"If you hate earbugs, avoid this phone by all means."
UNK:UNK	Great price also!
UNK:UNK	"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues."
UNK:UNK	fast service.
UNK:UNK	I would highly recommend this.
UNK:UNK	I would recommend this.
UNK:UNK	"I also didn't like the ""on"" button, it felt like it would crack with use."
UNK:UNK	WORST PHONE EVER.
UNK:UNK	I'm still infatuated with this phone.
UNK:UNK	Freezes frequently4.
UNK:UNK	It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.
UNK:UNK	"Simple, lightweight and great fit."
UNK:UNK	"All in all, I'd expected a better consumer experience from Motorola."
UNK:UNK	There's a horrible tick sound in the background on all my calls that I have never experienced before.
UNK:UNK	These are certainly very comfortable and functionality is decent.
UNK:UNK	I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.
UNK:UNK	I'm a bit disappointed.
UNK:UNK	"I have had this phone for over a year now, and I will tell you, its not that great."
UNK:UNK	I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).
UNK:UNK	The battery is completely useless to me.
UNK:UNK	What a big waste of time.
UNK:UNK	Don't waste your $$$ on this one.
UNK:UNK	Great sound and service.
UNK:UNK	Really pleased with this product so far.
UNK:UNK	One of my favorite purchases ever.
UNK:UNK	best bluetooth on the market.
UNK:UNK	Authentic leather with nice shine and comfort .I recommend you this case !!
UNK:UNK	I was very excited to get this headset because I thought it was really cute.
UNK:UNK	Do not make the same mistake as me.
UNK:UNK	Big Disappointment with calendar sync.
UNK:UNK	the phone was unusable and was not new.
UNK:UNK	Worst Customer Service Ever.
UNK:UNK	"No additional ear gels provided, and no instructions whatsoever."
UNK:UNK	It defeats the purpose of a bluetooth headset.
UNK:UNK	Worth every penny.
UNK:UNK	Excellent wallet type phone case.
UNK:UNK	Nice headphones for the price and they work great!
UNK:UNK	Internet is excrutiatingly slow.
UNK:UNK	"It is very comfortable to wear as well, which is probably the most important aspect about using a case."
UNK:UNK	"It's fits like a glove and is strong, secure, and durable."
UNK:UNK	O my gosh the best phone I have ever had.
UNK:UNK	It's very attractive and appears to be of good quality.
UNK:UNK	I love all the features and form factor.
UNK:UNK	This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it
UNK:UNK	poor quality and service.
UNK:UNK	"The cable looks so thin and flimsy, it is scary."
UNK:UNK	Great Earpiece.
UNK:UNK	Excellent hands free tool.
UNK:UNK	Great for using with your home stereo.
UNK:UNK	Good product - incredible value.
UNK:UNK	Only had this a month but it's worked flawlessly so far.
UNK:UNK	Works great.
UNK:UNK	Absolutel junk.
UNK:UNK	THAT one didn't work either.
UNK:UNK	Battery life is real good.
UNK:UNK	Returned 8 hours later.
UNK:UNK	It's a great item.
UNK:UNK	Don't waste your money!.
UNK:UNK	Love this headset!
UNK:UNK	"Not only will it drain your player, but may also potentially fry it."
UNK:UNK	Worked perfectly!
UNK:UNK	Unreliable - I'm giving up.
UNK:UNK	I gave it 5 stars because of the sound quality.
UNK:UNK	Avoid this one if you can.
UNK:UNK	Reversible plug works great.
UNK:UNK	I wasted my little money with this earpiece.
UNK:UNK	Very good phone.
UNK:UNK	"Best of all is the rotating feature, very helpful."
UNK:UNK	Comfort for our whole family.
UNK:UNK	"Good product, good seller."
UNK:UNK	I love this bluetooth!
UNK:UNK	"First of all, it doesn't wear well."
UNK:UNK	I am very impressed with this headset from Plantronics.
UNK:UNK	I got it because it was so small and adorable.
UNK:UNK	Great phone!.
UNK:UNK	I wouldn't recommend buying this product.
UNK:UNK	Piece of Junk.
UNK:UNK	Poorly contstruct hinge.
UNK:UNK	"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems"
UNK:UNK	Great Phone.
UNK:UNK	Don't buy it.
UNK:UNK	Excellent Phone.
UNK:UNK	DO NOT PURCHASE THIS PHONE.
UNK:UNK	The voice recognition thru the handset is excellent.
UNK:UNK	This is hands down the best phone I've ever had.
UNK:UNK	"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen."
UNK:UNK	This one works and was priced right.
UNK:UNK	Customer service was terrible.
UNK:UNK	Battery life still not long enough in Motorola Razor V3i.
UNK:UNK	Sending it back.
UNK:UNK	Now I know that I made a wise decision.
UNK:UNK	Someone shouldve invented this sooner.
UNK:UNK	Good price.
UNK:UNK	Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.
UNK:UNK	I received it quickly and it works great!!
UNK:UNK	Has been working great.
UNK:UNK	"As many people complained, I found this headset's microphone was very weak."
UNK:UNK	My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.
UNK:UNK	They do not care about the consumer one bit.
UNK:UNK	"This is a good battery, and it got here really fast."
UNK:UNK	The instruction manual is lacking.
UNK:UNK	Also its slim enough to fit into my alarm clock docking station without removing the case.
UNK:UNK	Phone now holds charge like it did when it was new.
UNK:UNK	The battery is unreliable as well as the service use antena.
UNK:UNK	It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).
UNK:UNK	We have gotten a lot of compliments on it.
UNK:UNK	This is definitely a must have if your state does not allow cell phone usage while driving.
UNK:UNK	I want my money back.
UNK:UNK	I love this device.
UNK:UNK	I am also very happy with the price.
UNK:UNK	I ordered this product first and was unhappy with it immediately.
UNK:UNK	The Ngage is still lacking in earbuds.
UNK:UNK	I was able to do voice dialing in the car with no problem.
UNK:UNK	"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything."
UNK:UNK	"good item, low price."
UNK:UNK	"However-the riingtones are not the best, and neither are the games."
UNK:UNK	The plug did not work very well.
UNK:UNK	AMAZON SUCKS.
UNK:UNK	Rip off---- Over charge shipping.
UNK:UNK	VERY comfortable.
UNK:UNK	The battery is working well as a replacement for the original that came with the phone over 2 years ago.
UNK:UNK	The reception is excellent!
UNK:UNK	"It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days."
UNK:UNK	"very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset."
UNK:UNK	1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.
UNK:UNK	Obviously there is a problem with the adhesive.
UNK:UNK	Very disappointing.
UNK:UNK	"It was an inexpensive piece, but I would still have expected better quality."
UNK:UNK	It is practically useless and did not add any kind of boost to my reception after I bought it.
UNK:UNK	Excellent sound quality.
UNK:UNK	Was not happy.
UNK:UNK	A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!
UNK:UNK	New Battery works great in phone.
UNK:UNK	Worst customer service.
UNK:UNK	"I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!)."
UNK:UNK	Reception is terrible and full of static.
UNK:UNK	Good audio quality.
UNK:UNK	This little device has transformed my organizational capability and made my life a whole lot easier.
UNK:UNK	"I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal."
UNK:UNK	Were JERKS on the phone.
UNK:UNK	Works like a charm.. Works as advertised.
UNK:UNK	"Comfortable, Nice Range, Good Battery Life."
UNK:UNK	Their network coverage in Los Angeles is horrible.
UNK:UNK	Excellent starter wireless headset.
UNK:UNK	"The loudspeaker option is great, the bumpers with the lights is very ... appealing."
UNK:UNK	The only thing that I think could improve is the sound leaks out from the headset.
UNK:UNK	"First off the reception sucks, I have never had more than 2 bars, ever."
UNK:UNK	The phone gets EXTREMELY HOT!
UNK:UNK	"The microphone also works well, but (according to people I have called) it applifies everything."
UNK:UNK	Nice design and quality.
UNK:UNK	"Also, if your phone is dropped, this case is not going to save it, specially when dropped face down."
UNK:UNK	"It is light, easy to use, and has very clear reception and transmission."
UNK:UNK	"bad fit, way too big."
UNK:UNK	It definitely was not as good as my S11.
UNK:UNK	awesome device.
UNK:UNK	Waste of money.
UNK:UNK	"I had ordered a motorola data cable, got a very well finished and working product."
UNK:UNK	Love This Phone.
UNK:UNK	I was looking for this headset for a long time and now that I've got it I couldn't be happier.
UNK:UNK	"I'll be drivng along, and my headset starts ringing for no reason."
UNK:UNK	Display is excellent and camera is as good as any from that year.
UNK:UNK	Battery life is also great!
UNK:UNK	The worst phone I've ever had.... Only had it for a few months.
UNK:UNK	Not a good item.. It worked for a while then started having problems in my auto reverse tape player.
UNK:UNK	This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.
UNK:UNK	Protects the phone on all sides.
UNK:UNK	This is a VERY average phone with bad battery life that operates on a weak network.
UNK:UNK	"Clear Skype Calls, Long Battery Life, Long Range."
UNK:UNK	Soyo technology sucks.
UNK:UNK	Great Hands Free Device.
UNK:UNK	"you can even take self portraits with the outside (exterior) display, very cool."
UNK:UNK	Same problem as others have mentioned.
UNK:UNK	After trying many many handsfree gadgets this is the one that finally works well.
UNK:UNK	Magical Help.
UNK:UNK	The worst piece of crap ever along with the Verizon customer service.
UNK:UNK	Poor sound quality.
UNK:UNK	The best phone in market :).
UNK:UNK	It worked very well.
UNK:UNK	The company shipped my product very promptly and it works well.
UNK:UNK	Exactly what I wanted.
UNK:UNK	The picture resolution is far below what other comparably-priced phones are offering today.
UNK:UNK	This is a great deal.
UNK:UNK	"Excellent product, I am very satisfied with the purchase."
UNK:UNK	I highly recommend these and encourage people to give them a try.
UNK:UNK	Better than you'd expect.
UNK:UNK	"Using all earpieces, left or right, this thing will not stay on my ear."
UNK:UNK	Great product and price.
UNK:UNK	"Sounds good reasonably priced and effective, Its that simple !"
UNK:UNK	Still Waiting...... I'm sure this item would work well.. if I ever recieve it!
UNK:UNK	what a disappointment
UNK:UNK	Very prompt service.
UNK:UNK	Excellent product for the price.
UNK:UNK	Very pleased with this headset.
UNK:UNK	don't waste your money and time.
UNK:UNK	I especially love the long battery life.
UNK:UNK	"It's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out."
UNK:UNK	Works great.
UNK:UNK	Plantronics Bluetooth Excelent Buy.
UNK:UNK	I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.
UNK:UNK	I'll be looking for a new earpiece.
UNK:UNK	I highly recommend this device to everyone!
UNK:UNK	Jawbone Era is awesome too!
UNK:UNK	We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement
UNK:UNK	After a year the battery went completely dead on my headset.
UNK:UNK	"I have used several phone in two years, but this one is the best."
UNK:UNK	An Awesome New Look For Fall 2000!.
UNK:UNK	This is the first phone I've had that has been so cheaply made.
UNK:UNK	"Att is not clear, sound is very distorted and you have to yell when you talk."
UNK:UNK	The plastic breaks really easy on this clip.
UNK:UNK	Price is good too.
UNK:UNK	Don't make the same mistake I did.
UNK:UNK	Oh and I forgot to also mention the weird color effect it has on your phone.
UNK:UNK	I'm using it with an iriver SPINN (with case) and it fits fine.
UNK:UNK	Also the area where my unit broke).- I'm not too fond of the magnetic strap.
UNK:UNK	"Overall, I am psyched to have a phone which has all my appointments and contacts in and gets great reception."
UNK:UNK	"every thing on phone work perfectly, she like it."
UNK:UNK	"Another note about this phone's appearance is that it really looks rather bland, especially in the all black model."
UNK:UNK	IT'S REALLY EASY.
UNK:UNK	My Sanyo has survived dozens of drops on blacktop without ill effect.
UNK:UNK	Fantastic earphones.
UNK:UNK	It finds my cell phone right away when I enter the car.
UNK:UNK	Low Quality.
UNK:UNK	I highly recommend this modest priced cellular phone.
UNK:UNK	But it does get better reception and clarity than any phone I've had before.
UNK:UNK	Warning - Stay away.
UNK:UNK	I wish I could return the unit and get back my money.
UNK:UNK	Awsome Device Works Great!!.
UNK:UNK	I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.
UNK:UNK	"If you don't find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone."
UNK:UNK	Very Displeased.
UNK:UNK	"I might have gotten a defect, but I would not risk buying it again because of the built quality alone."
UNK:UNK	They made this case too small and is very difficult to install.
UNK:UNK	Restored my phone to like new performance.
UNK:UNK	"I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q, go figure."
UNK:UNK	"I searched the Internet, and found this one to be the best value."
UNK:UNK	Does not fit.
UNK:UNK	Very happy with this product.
UNK:UNK	"The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone."
UNK:UNK	There's really nothing bad I can say about this headset.
UNK:UNK	"i'm glad i found this product on amazon it is hard to find, it wasn't high priced."
UNK:UNK	Portable and it works.
UNK:UNK	"My colleague & I now get great reception.A little expensive, but performance is great."
UNK:UNK	I even fully charged it before I went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.
UNK:UNK	I've also had problems with the phone reading the memory card in which I always turn it on and then off again.
UNK:UNK	Not good when wearing a hat or sunglasses.
UNK:UNK	Timely shipment and quality product.
UNK:UNK	Nice solid keyboard.
UNK:UNK	Very well made and fits my Surefire GX2 perfectly.
UNK:UNK	Horrible phone.
UNK:UNK	BT50 battery junk!.
UNK:UNK	We would recommend these to others.
UNK:UNK	Cant get the software to work with my computer.
UNK:UNK	Disappointed!.
UNK:UNK	poor voice clarity.
UNK:UNK	The battery works great!
UNK:UNK	No buyers remorse on this one!.
UNK:UNK	Very disappointed in AccessoryOne.
UNK:UNK	I find this inexcusable and so will probably be returning this phone and perhaps changing carriers.
UNK:UNK	"Looks great and is strong."""
UNK:UNK	"I have had TMobile service for 2 or 3 years now, and I am pretty happy with it."
UNK:UNK	The update procedure is difficult and cumbersome.
UNK:UNK	Disappointment.. I hate anything that goes in my ear.
UNK:UNK	Great software for Motorolas.
UNK:UNK	The delivery was on time.
UNK:UNK	Very easy to use.
UNK:UNK	"Uncomfortable In the Ear, Don't use with LG VX9900 (EnV)."
UNK:UNK	The volume switch rocketed out of the unit to a destination unknown.
UNK:UNK	"It holds a charge for a long time, is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous."
UNK:UNK	I'd like to return it.
UNK:UNK	The keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems.
UNK:UNK	"Verizon's bills, however, are difficult to understand even though their pricing plans are simple."
UNK:UNK	"After charging overnight, these batteries work great."
UNK:UNK	You won't regret it!
UNK:UNK	I love this phone!.
UNK:UNK	A Disappointment.
UNK:UNK	Its not user friendly.
UNK:UNK	Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.
UNK:UNK	"Then I exchanged for the same phone, even that had the same problem."
UNK:UNK	This results in the phone being either stuck at max volume or mute.
UNK:UNK	This PDA rocks.
UNK:UNK	"It is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles."
UNK:UNK	"I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!"
UNK:UNK	I had Verizon 2 years ago and really liked their service.
UNK:UNK	Pretty piece of junk.
UNK:UNK	Plug was the wrong size.
UNK:UNK	Works as described.
UNK:UNK	Save your money.... I've had this item for 11 months now.
UNK:UNK	Bad Purchase.
UNK:UNK	WELL IM SATISFIED.
UNK:UNK	"The bose noise cancelling is amazing, which is very important for a NYC commuter."
UNK:UNK	This battery is an excellent bargain!
UNK:UNK	Defective crap.
UNK:UNK	I would have given no star if I was able.
UNK:UNK	I wear glasses and it fits fine with them.
UNK:UNK	"The sound quality for the device is unacceptable.Unless you are in a really quiet area, you almost hear nothing."
UNK:UNK	I would not recommend this item to anyone.
UNK:UNK	The holster that arrived did not match the photo in the ad.
UNK:UNK	great...no problems at all!.
UNK:UNK	"As an earlier review noted, plug in this charger and nothing happens."
UNK:UNK	This frog phone charm is adorable and very eye catching.
UNK:UNK	You never know if you pushed it hard enough or the right number of times for the function you want or not.
UNK:UNK	The sound is clear and the people I talk to on it are amazed at the quality too.
UNK:UNK	I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.
UNK:UNK	"very good product, well made."
UNK:UNK	Mobile Phone Tools are a must have.
UNK:UNK	I am very impressed with the job that Motorola did on the sturdiness of this phone.
UNK:UNK	"I received my orders well within the shipping timeframe, everything was in good working order and overall, I am very excited to have this source."
UNK:UNK	The phone is sturdy and waterproof.
UNK:UNK	I am not impressed with this and i would not recommend this item to anyone.
UNK:UNK	My only complaint is the standard sound volume is a little low even when turned up to 5(of 5)
UNK:UNK	Thanks again to Amazon for having the things I need for a good price!
UNK:UNK	I ended up sliding it on the edge of my pants or back pockets instead.
UNK:UNK	I had to go to a store and bought a new NOKIA phone which is working great.
UNK:UNK	Works great!.
UNK:UNK	REALLY UGLY.
UNK:UNK	"horrible, had to switch 3 times."
UNK:UNK	The noise shield is incrediable.
UNK:UNK	No real improvement.
UNK:UNK	Razr Battery - Good buy.
UNK:UNK	Keep up the good work Amazon!!
UNK:UNK	They refuse to refund or replace.
UNK:UNK	Unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.
UNK:UNK	So I basically threw my money out the window for nothing.
UNK:UNK	Great case and price!
UNK:UNK	All it took was one drop from about 6 inches above the kitchen counter and it was cracked.I am not impressed and I am not laughing.
UNK:UNK	"Bluetooth range is good - a few days ago I left my phone in the trunk, got a call, and carried the conversation without a hitch."
UNK:UNK	"Small, sleek, impressive looking, practical setup with ample storage in place."
UNK:UNK	The eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.
UNK:UNK	none of the new ones have ever quite worked properly.
UNK:UNK	I am glad I purchased it.
UNK:UNK	I've missed numerous calls because of this reason.
UNK:UNK	"Perhaps my phone is defective, but people cannot hear me when I use this."
UNK:UNK	Don't buy this product.
UNK:UNK	"sucked, most of the stuff does not work with my phone."
UNK:UNK	"No shifting, no bubbling, no peeling, not even a scratch, NOTHING!I couldn't be more happier with my new one for the Droid."
UNK:UNK	Worst software ever used.... If I could give this zero stars I would.
UNK:UNK	Trying to make a call on these is an exercise in frustration.
UNK:UNK	The case is a flimsy piece of plastic and has no front or side protection whatsoever.
UNK:UNK	"I own a Jabra Earset and was very happy with it, but the sound quality, especially outgoing, on this is better."
UNK:UNK	"I love the camera, it's really pretty good quality."
UNK:UNK	Thank you for such great service.
UNK:UNK	Its a total package.
UNK:UNK	"The seller is very understanding and patient, I would definitely buy from them again."
UNK:UNK	I give Wirefly 1 star.I will contact Cingular/AT&T; and inform them of this practice.
UNK:UNK	It's AGGRAVATING!
UNK:UNK	Great product for the price!.
UNK:UNK	"I have purchased these for both family and friends, and all enjoy their clarity and ease of use"
UNK:UNK	Virgin Wireless rocks and so does this cheap little phone!
UNK:UNK	"None of it works, just don't buy it."
UNK:UNK	"Muddy, low quality sound, and the casing around the wire's insert was poorly super glued and slid off."
UNK:UNK	Please dont waste your money.
UNK:UNK	"All in all, I'm quite satisfied with this purchase."
UNK:UNK	"If you are looking for a good quality Motorola Headset keep looking, this isn't it."
UNK:UNK	Yet Plantronincs continues to use the same flawed charger design.
UNK:UNK	Disapointing Results.
UNK:UNK	Cumbersome design.
UNK:UNK	"Great it was new packaged nice works good, no problems and it came in less time then I expected!!!!"
UNK:UNK	Great Product.
UNK:UNK	It's A PIECE OF CRAP!
UNK:UNK	"My experience was terrible..... This was my fourth bluetooth headset, and while it was much more comfortable than my last Jabra (which I HATED!!!"
UNK:UNK	This fixes all the problems.
UNK:UNK	Worst ever.
UNK:UNK	I am very happy
UNK:UNK	"I've had no trouble accessing the Internet, downloading ringtones or performing any of the functions."
UNK:UNK	"I can barely ever hear on it and am constantly saying ""what?"""
UNK:UNK	The battery life is highly unacceptable.
UNK:UNK	That company is a joke.
UNK:UNK	It does everything the description said it would.
UNK:UNK	Due to this happening on every call I was forced to stop using this headset.
UNK:UNK	"It works great with a car charger, especially if you cannot plug in two adapters at the same time."
UNK:UNK	"Verizon tech support walked my through a few procedures, none of which worked and I ended up having to do a hard re-set, wiping out all my data."
UNK:UNK	"Voice Quality, Signal Strength, Dropped Calls."
UNK:UNK	"It plays louder than any other speaker of this size; the price is so low that most would think the quality is lacking, however, it's not."
UNK:UNK	Better than expected.
UNK:UNK	"It feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them."
UNK:UNK	Battery is holding up well.
UNK:UNK	Also difficult to put on.I'd recommend avoiding this product.
UNK:UNK	"I only used it two days, and it wasn't always easy to hear with."
UNK:UNK	I got the car charger and not even after a week the charger was broken...I went to plug it in and it started smoking.
UNK:UNK	Sprint - terrible customer service.
UNK:UNK	Linked to my phone without effort.
UNK:UNK	THey are so cool!
UNK:UNK	Easy to use.
UNK:UNK	Better Than New.
UNK:UNK	"What possesed me to get this junk, I have no idea..."
UNK:UNK	Piece of trash.
UNK:UNK	A pretty good product.
UNK:UNK	This is a great phone!.
UNK:UNK	"For the price on Amazon, it is an excellent product, which I would highly recommend."
UNK:UNK	Their Research and Development division obviously knows what they're doing.
UNK:UNK	"The real killer is the volume, and of course it breaking."
UNK:UNK	Those phones are working just fine now.
UNK:UNK	I am more than happy with this product.
UNK:UNK	Poor Construction.
UNK:UNK	This is infuriating.
UNK:UNK	"Overall, I would recommend this phone over the new Walkman."
UNK:UNK	Sprint charges for this service.
UNK:UNK	"It is cheap, and it feel and look just as cheap."
UNK:UNK	It fits my ear well and is comfortable on.
UNK:UNK	It doesn't work in Europe or Asia.
UNK:UNK	clipping this to your belt will deffinitely make you feel like 50 cent's up-and-coming.
UNK:UNK	I like design and look of Jabra behing the ear headsets and 5020 is pretty comfortible to wear 24 hours a day without pain in the ear.
UNK:UNK	I was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.
UNK:UNK	the worst phone from samsung...crap..... this crappy Samsung E715.. is the worst i have ever seeen.
UNK:UNK	the charger worked for about a week and then completely stopped charging my phone.
UNK:UNK	Poor product.
UNK:UNK	However I needed some better instructions.
UNK:UNK	You need two hands to operate the screen.This software interface is decade old and cannot compete with new software designs.
UNK:UNK	Worked very well paired with a Treo 700w and as a Skype headset on my PC (using a USB Bluetooth transceiver).
UNK:UNK	"Steer clear of this product and go with the genuine Palm replacementr pens, which come in a three-pack."
UNK:UNK	DO NOT BUY DO NOT BUYIT SUCKS
UNK:UNK	This is a great product..... sure beats using your fingers!.
UNK:UNK	"Plus, I seriously do not believe it is worth its steep price point."
UNK:UNK	All the other cases I've tried normally fall apart after a few months but this one seems to be in for the long haul.
UNK:UNK	Very Dissapointing Performance.
UNK:UNK	Don't make the same mistake that I did and please don't buy this phone.
UNK:UNK	This phone might well be the worst I've ever had in any brand.
UNK:UNK	Case was more or less an extra that I originally put on but later discarded because it scratched my ear.
UNK:UNK	I recommend iGo to anyone with different brand cell phones/mp3 players in the family.
UNK:UNK	Don't bother - go to the store.
UNK:UNK	"I posted more detailed comments under the grey or black phone, but i have the Fire Red and it's a great color!"
UNK:UNK	I did not have any problem with this item and would order it again if needed.
UNK:UNK	You get what you pay for I guess.
UNK:UNK	"Not only did the software do a great job of this, I could also make my own ringtones form my existing CDs without an internet connection."
UNK:UNK	im surprised this is a good quality car charger and there's not much reviews about it.
UNK:UNK	These are fabulous!
UNK:UNK	"However, BT headsets are currently not good for real time games like first-person shooters since the audio delay messes me up."
UNK:UNK	I used bitpim (a free program you can find on the internet)to transfer data to the phone.The price of the cable was excellent.
UNK:UNK	Disappointing accessory from a good manufacturer.
UNK:UNK	"Performed awful -- muffled, tinny incoming sound and severe echo for those on the other end of the call."
UNK:UNK	Very wind-resistant.
UNK:UNK	"Obviously they have a terrible customer service, so you get what you pay for."
UNK:UNK	"They do not last forever, but is not overly expensive to replace.Easy to operate and the sound is much better than others I have tried."
UNK:UNK	"I contacted the company and they told me that, although the unit was still under warranty, if I couldn't produce my receipt I was out of luck."
UNK:UNK	Linksys should have some way to exchange a bad phone for a refurb unit or something!
UNK:UNK	Phone is sturdy as all nokia bar phones are.
UNK:UNK	Great phone.
UNK:UNK	"When I placed my treo into the case, not only was it NOT snug, but there was A LOT of extra room on the sides."
UNK:UNK	I'm pleased.
UNK:UNK	Battery is terrible.
UNK:UNK	I found the product to be easy to set up and use.
UNK:UNK	The earpiece on this is too large or too heavy...it keeps falling out of my ear.
UNK:UNK	Utter crap.. Sound quality is TERRIBLE.
UNK:UNK	"The charger arrived within the promised timeframe, but it did not work."
UNK:UNK	"No ear loop needed, it's tiny and the sound is great."
UNK:UNK	"Finally, after three or four times the spring of the latch broke and I could not use it any longer on the visor."
UNK:UNK	"The handsfree part works fine, but then the car tries to download the address book, and the Treo reboots.Overall, I still rate this device high."
UNK:UNK	Talk about USELESS customer service.
UNK:UNK	"It felt too light and ""tinny.""."
