,0,1
123,Internet Child Predator?,10
124,Where was your best holiday ever?,1
125,does this guy like me?,9
126,for my girl?,8
127,What is the most reactive family of metals? why?,2
128,is it wrong to like watersports.  ie pee?,1
129,where do you go about new tax laws?,10
130,how to connect vonage to a wireless router?,5
131,what is computer?,5
132,"my computer beeps when it is turned off,why?",5
133,What is a zoombox?,8
134,where is georgia?,2
135,How many of you like T.I. and 50 cent?,8
136,Port Saint Lucie - Old Coven Members?,1
137,please help me to paraphrise these statements! thank you?,4
138,Why do you think people want to be emo?,5
139,Help writing power series?,2
140,my friend is really annoying me!?,9
141,"talking yes, sex no?",9
142,emo or punk muzic?????,8
143,how can i create a logo for my company(developer)?,7
144,what are the iranian people like in your own idea?,1
145,HEEELLLLPPPP! Boy problem!!?,9
146,Dose any body know who andre barton is?,1
147,What is nonwage income?,7
148,what historical thing happened in 1650 in america?,4
149,Linux problem?,5
150,Why would ANYBODY vote Democratic???,10
151,Why are people impolite to strangers?,1
152,How can i earn extra cash in the uk only?,7
153,differences of Sparta and Athens in Ancient Greece?,4
154,Has Online pharmacy overshadowed brick and mortal pharmacy?,3
155,Please traslate from Chinese into English?,1
156,Is America going to go to war with Iran?,10
157,Moaning Mourinho?,6
158,if you told him how you feel and...?,9
159,"Where, in Marin County California, is the Vansen Ranch ?",6
160,how does hair grow?,7
161,how can I get rid of the ringing in my ears?,3
162,about the G.E.D test?,10
163,how can I open any resticted website??,5
164,Should I do it?,9
165,average male pants size?,3
166,which is the best linux??,5
167,Who is the youngest ever winner of Wimbledon men's singles?,6
168,Which guy?,9
169,why is austalia called the land of oz?,4
170,What's your favorite...?,8
171,How to connect to outlook with webmail?,5
172,How long do burned DVDs last?  Burned CDs?,5
173,song from forest gump?,8
174,what is the use of dexamethasone??,3
175,rooster joke?,7
176,Unsure about auto insurance law?,10
177,How can I make a really long day go quicker at work?,7
178,do the people have the right to die?,10
179,why didnt UK help US in the Vietnam war?,10
180,shuffle anyone?,9
181,Who do Liverpool FC need to buy to win the Premiership?,6
182,how can i get wireless internet for my laptop.?,5
183,Where can i find truancy  laws for KS?,10
184,Need abuse advice?,10
185,what is 7/16+9/16=?,7
186,How do you multiply fractions?,4
187,whos the best QB to ever play in the NFL?,6
188,Why do certain words suddenly become politically incorrect to say?,4
189,For people born before 1965.?,4
190,my age 30 and I cant make relation with girles?,9
191,What is the name of the Nile goddess?,4
192,Indian Test Cricket?,6
193,What is an euro?,7
194,where can i get a training to get the 220 insurance license?,7
195,I need several proxy sites to get past school blockers?,5
196,who loves to play sports?,6
197,Capital punishment? For or against?,10
198,has any one heard of alldayairs.com?,6
199,does capital punishment still happen in the United Kingdom?,10
