,question_1,label
210,What does RSS means ?,5
211,What do you think of the Maury Povich Show?,8
212,How come it seems like Lottery winners are always the ones that buy tickets in low income areas.?,10
213,which was the best national team ever in a FIFA World Cup?,6
214,How do I protect myself from credit card scam?,7
215,When did women start competing in sports?,6
216,How much do sound cards cost?,5
217,What do I need to open PDF files?,5
218,Does anyone know a good tutoring service for k-12 around Philadelphia?,4
219,What is the difference between quote and quotation?,4
220,What are the qualities that a good friend should have?,9
221,Can you recommend a residential real estate appraisal firm around Kansas?,7
222,What are the best single tracks for Mt. biking in the bay area?,6
223,What building housed the first elevator?,4
224,"What does ""folksonomy"" mean?",5
225,Are Wireless Networks Secure?,5
226,Is it legal to publicly rate medical doctors?,10
227,When is Jojo going to the shop?,1
228,What makes a teacher want to leave their profession?,4
229,How do I tone my butt? What's the best exercise for butts?,3
230,"Can I use 26"" mountain bike rims for my cyclocross-frame bike?",6
231,how many members does the German Bundestag consist of?,10
232,How can I find the state symbols for a state?,4
233,How many words with 10 letters are there in the US dictionary?,4
234,"What is the origin of the word ""cop""?",4
235,Which country is most corrupt?,10
236,Where can I find a not-for-profit humane society in Denver?,10
237,What should I have in my disaster emergency kit stored out side my house?,7
238,Which part-time MBA program will add value to a software developer with 15 years experience?,4
239,Are humans still evolving?,2
240,What is the United States' annual homeland security budget?,10
241,what is a double layer DVD burner?,5
242,Does anyone know a good apartment rental agency around Washington DC?,7
243,How do you negotiate a job offer?,7
244,Is there anywhere that rents UMD movies for PSP?,8
245,Who to start on defense this week?,6
246,What was the name of King Arthur's sword?,4
247,Will there be a third kill bill?,8
248,Which player led the USA Basketball team (original Dream Team) in scoring in the 1992 Olympics in Barcelona?,6
249,Why are blueberries so good for your health?,3
250,"What is the meaning behind the song ""the reflex"" by Duran Duran?",8
251,"As a novice runner, how many weeks/months do I need to properly train for a marathon?",3
252,Which religion is the right one?,1
253,How can I cure my hiccups?,3
254,Why do Canadians Celebrate Thanks giving?,1
255,What is Visual Basic?,5
256,What's your definition of Web 2.0?,5
257,Should the A's trade Zito this off-season?,6
258,Should high schools offer classes on SAT for all?,4
259,which is the more powerful crime family - the corleone's or the soprano's?,8
260,Why are the Dutch so tall?,2
261,"Any great, top quality language schools in Dallas?",4
262,Where can I find help about a war?,4
263,Should the Sharks trade Evgeni Nabokov?,6
264,Can animals really predict earthquakes?,2
265,"Who wrote the screen play for ""The Big Lebowski""?",8
266,Where can I get antivirus software if I don't have it installed?,5
267,Is there a dictionary for slang words?,4
268,What is your favorite quotation by a famous author?,4
269,when did the Titanic sink?,7
270,Is it important to send a thank you note after an interview?,7
271,"how google and ""evil"" relate?",5
272,"What was Earvin ""Magic"" Johnson's nickname as a youngster in Michigan, before he came to be known as Magic?",6
273,will golden state warriors make it to the playoffs this year ?,6
274,I have a desktop with a 82845 GL Intel integrated video card 64MB w/ no AGP slot.  Should I upgrade via PCI?,5
275,How can I find the dhcp server on Linux ?,5
276,What are the best places for downhill skateboarding in California?,6
277,What is the difference between permutations and combinations?,2
278,"What does ""buck naked"" mean?",4
279,Who is the best soccer player in the world? Accordingly to FIFA and accordingly to general audience?,6
280,How many answers does a typical Q&A question get?,7
281,Will there ever be another figure in rock that comes even close to Jimi Hendrix?,8
282,"In the quest for dazzling teeth, how harmful are teeth whitening strips?",3
283,"Can someone *simply* explain what a stock ""short"" is?",7
284,Is there a cure for malaria?,2
285,"Which came first, the chicken or the egg?",2
286,Any learning center that offers Personalized tutoring programs in Portland?,4
287,How do I find out how much RAM my computer has?,5
288,What does Sarbaines Oxley compliant mean?,10
289,Is there a  public place in bay area where one can stay late till 1 am and do  home work or read.  ?,7
290,Are expensive urethane golf balls e.g. Titleist Pro V1 worth it for the normal club golfer?,6
291,"Do you have a recommendation for a clean, quiet and decent apartment complex in Vegas?",7
292,What is the meaning of life?,1
293,What is the difference between dating and in a relationship?,9
294,Where can I find a list of important events from a year in history?,4
295,"Why in the House of Commons does the P.M. often say ""I refer the hon. gentleman to the answer I gave earlier""?",10
296,How to get rid of stretch marks after pregnancy?,3
297,Why is SAT important?,4
298,Why do people love Oprah?,8
299,Can I view everything on the Internet via the wireless network?,5
300,"Is there an English equivalent for the male firstname ""Reinhard""?",1
301,what is the most popular programming laguage in use today?,5
302,What are the odds of life on another planet?,2
303,What is your opinion on online dating?,9
304,Why do shoes have heels?  Feet were designed flat...?,1
305,Should I fly back to Sunnyvale (from WI) for the Year end party? Is it worth it?I'?,1
306,If your co-worker has a white head thats ready to pop should you be able to go over there and pop it for him?,3
307,How can I tell if the moon is waxing or waning?,2
308,What do you call the 4-stringed Hawaiian instrument which looks like a little guitar?,4
309,What are the Seven Sisters schools? Are they considered as good colleges?,4
310,why does the bird flu considered to be such a frightening disease?,3
311,What can be done to lower the dropout rate in High Schools?,4
312,What is paraphrasing?,4
313,how can i watch soccer on tv in California?,6
314,what is the system for ranking foosball players and how does it work?,6
315,Why do filipinos eat with their bare hands?,1
316,Wireless router setup?,5
317,How many albums does an artist have to sell to get a gold or platinum record?,8
318,Who sailed from Spain around the tip of S. America & across the Pacific Ocean to the Phils.?,2
319,When was Archie comics published?,8
320,How can we improve the quality of the teachers in high schools?,4
321,what was Hitchcock best movie?,8
322,How are animals classified?,4
323,When to start / have mammograms?,3
324,who was the first man to climb all the 8.000 m mountains in the world?,6
325,How can i run a regression in Excel?,5
326,"If you were asked to plan the ""perfect weekend"" for a guy, what would you include?",9
327,How is it that different countries have come up with different styles of electrical socket pins?,2
328,Should I rent or buy?,7
329,how many zip codes in the us ?,7
330,"What did Nate ""Tiny"" Archibald do in the 1972-73 NBA season that no one had done before or since?",6
331,Are there good surf spots on India's coast?,6
332,What can you say to someone on their deathbed to help put their mind at ease?,3
333,Why is the sky blue?,2
334,best place to meet guys in the bay area?,9
335,How do I end a date with a girl I'm not interested in?,9
336,Who is Helena in the song Helena by My Chemical Romance?,8
337,Is Thanksgiving only celebrated in the United States?,1
338,How to fight graft and corruption?,10
339,What company built a brewery in a major league baseball stadium?,4
340,Do you have a recommendation for a quiet and decent apartment complex around Houston?,7
341,How can I tell if my software includes spyware or adware?,5
342,What are the most popular blogging tools?,5
343,What is the best checking account balancing interest and service?,7
344,What site can I go to to find out how many seconds are in a year?,4
345,What was the last Hanna-Barbera prime-time cartoon series? And what year did it air?,8
346,Explanation for correlated wave function collapse at a distance (Quantum Mechanics)?,2
347,"If you were on the world's biggest island, where would you be?",2
348,how many mountains in the world are 8.000 m (26k feet) or more?,2
349,What does being loyal to a friend mean?,9
350,"In the six nations, why is 'prize' for the team that does not win a single game called ""wooden spoon""?",6
351,Where do babies come from?,2
352,Can you recommend a good preschool with childcare around Philly?,4
353,What do you think is the single most important event of a High Schooler's life?,4
354,What ever happened to Ask Jeeves??? Was those questions answered by real people also?,7
355,Do women expect a kiss on the first date?,9
356,Why is the voltage ratinging always a multiple of 11 ?,2
357,What's the best prog. language to learn? What's the easiest to get into?,5
358,How do bowlers get reverse swing in cricket?,6
359,What's the Hacker's Diet?,3
360,"if a plane was on some type of treadmill that detects speed, will it ever take off?",2
361,Is it a good time to buy a house in Los Altos CA?,7
362,How can one stop thinking constantly about an ex?,9
363,What does Adobe Reader do?,5
364,Am I (Arnold) stronger then Rambo?,8
365,"Who said ""I am not bound to please thee with my answers""?",4
366,What New England state contains the Penobscot River?,2
367,What's the difference between online chat and instant messaging?,5
368,what is the average cost of an engineer in India comparing to the US?,7
369,how much does ebay charge for selling stuff?,7
370,Where is the gum?,3
371,"Does anyone know what ""piggy back"" means?",4
372,who was the second leading scorer on philadelphia the night wilt chamberlain scored 100 points in a game?,6
373,How do I change the nickname I chose when I first logged in to qa.yahoo.com?,5
374,Why are the colors of Christmas red and green?  What do these colors symbolize?,1
375,What is a good platform for writing complex web apps in php?,5
376,Should teachers be required to renew their credentials every 5 years?,4
377,How should I encrypt/pw protect my backup files on an external harddrive for easy recovery on any machine?,5
378,What is the difference between a state and a nation?,10
379,What is the difference between Notepad and WordPad?,5
380,What is the best microphone or headset for recording a podcast?,5
381,"I've heard of a ""Green flash"" when the Sun sets. Does this happen? Only over the ocean? Why?",2
382,Can eyesight be trained or improved?  How?,3
383,What is the 4th largest city in the U.S.?,2
384,Do best friends always have to do and share everything together?,9
385,When is Thanksgiving celebrated in Canada?,1
386,What is a legal separation?,9
387,"What do you mean by ""The grass is always greener on the other side of the fence""?",4
388,Where is the hottest place on earth?,2
389,What color do you paint the town when you go partying around the it?,4
390,Why did the 80's rock group Husker Dü breakup?,8
391,Can someone explain to me what Ruby on Rails is all about?,5
392,Do love relationships with co-workers work?,9
393,why is the earth round?,2
394,Where is the best place around here (Mountain View) for a novice to go for skydiving ?,6
395,Who will win 2005 heisman trophy? Reggie? Vince? Matt?,6
396,What is the difference between phishing and pharming?,5
397,What's a good way to find a pick-up basketball game?,6
398,do i need to pay tax before filing tax return if i sell my ISO stock options this year?,7
399,How do I roll my 401(k) over to a traditional IRA?,7
400,"Is this the end of the housing boom? For October, existing home sales was down while new home sales surged.?",7
401,"What is the best Tennis club in or near Sunnyvale, CA?",6
402,"Parttime MBA or Certification in Management, which one is better. Where can I do the Mgmt. certification from.",4
403,Would Amazon sell as much stuff if they required California residents to pay tax?,7
404,I am being harassed by a telemarketing company even though i requested to be not called. Help?,7
405,Are there excellent Catholic schools in Las Vegas?,4
406,What animal species are monogamous?,2
407,What is the role of music in evolution?,2
408,"why ""liberal"" in the US is considered as ""left"", while in europe is used to define a conservative?",10
409,Which is better for back pain-- ice or heat?,3
410,Where can I buy a copy of Hypercard 2.4 for Mac?,5
411,What is Michael Jordan doing now? Is he working?,6
412,What is the other nickname of Georgia besides Peach State?,2
413,"What Warner Bros. cartoon character turned 50 yrs old on September 16, 1999?",8
414,why some companies have survived for more then 50 years while others have failed only after 5?   why is that ?,7
415,What is the difference between AGP and PCI graphics cards?,5
416,Who Will be the League MVP this Year?,6
417,What is the best slope in Tahoe for snowboarders?,6
418,What is the difference between networking and pyramiding?,7
419,What does the term playing hooky mean?,4
420,Who invented the mouse?,5
421,How Much Wood Can A Wood Chuck Chuck?,2
422,What was Alfred Hitchcock's contribution to the movie industry?,8
423,"Where did the term ""I'll be there with bells on"" originate?",4
424,Why are we here?,7
425,Which is better a Linux operating system over a Windows operating system?,5
426,What is the size of Paris Hilton's feet?,8
427,How does this site make money?,7
428,how can you cause a toddler to do something that they don't want to do?,9
429,What triangle shaped island is the largest in the Mediterranean?,2
430,What is a router?,5
431,What is a family?,9
432,What's the best age gap between siblings?,9
433,What is the world's largest island?,4
434,"what does ""The Forgotten Arm,"" in the title of Aimee's new album mean?",8
435,what's the best Sirius satellite radio to get?,8
436,What's the best search engine?,5
437,How do you set-up a personal video recorder without monthly fees?,8
438,What's the name of Paris Hilton's pet dog?,8
439,What are the advantages of a compact crankset over a triple on a bicycle?,6
440,Can someone direct to me to a good site about volcanoes?,4
441,How much wood could a wood chuck chuck if a wood chuck could chuck wood?,4
442,Who is the best formula 1 driver to ever live?,6
443,What is the name of Ariel Sharon's new party?,10
444,How many colleges require you to have a foreign language credit?,4
445,Why do videos run slow on my computer?,5
446,who won the world series?,6
447,What exactly is the difference between stock options and stock grants?,7
448,"Is the song, ""Puff the Magic Dragon"" really about drugs?",8
449,"Which came first, the chicken or the egg?",4
450,who holds the nba record for most consecutive 3 point field goals made?,6
451,"For $1000 or less, what's the best 1600x1200 LCD monitor for digital photography? I.e., most accurate color?",5
452,In what year did Billie Joe Armstrong of Green Day get married?,8
453,how come our eyes are located in the front and not on the side of the head?,2
454,What is SAP?,5
455,How do you clean a computer monitor's screen?,5
456,What's better Snowboarding or Skiing?,6
457,Where is the best place to park when going to a San Jose Sharks Game?,8
458,"Why do we call the initial test ""alpha test"" and the next test ""beta test""?",4
459,Why did the Replacements break up?,8
460,Where can I find out the history of a holiday?,4
461,What is Bill Russell's single game career high for total rebounds?,6
462,What is the difference between a tigon and a liger?,7
463,Can anyone recommend a reliable and cost effective person to do our personal Trust and will?,7
464,Who was Pele's best companion at the Santos attack?,6
465,How do you feel about sex education for 4th and 5th graders? Is it too soon?,4
466,What sea separates Norway from Northern England?,2
467,why does polar bear's fur turn green?,2
468,do you think that the people who make Evian bottled water meant for it to be spelled Naive backwards?,7
469,what is the fibbonacci sequence?,2
470,How did language start?,4
471,What is the Capital City of Jamaica?,2
472,Is there a way to change google earth to night-time images?,5
473,are all women capable of having orgasms during sex  -even obese people?,7
474,What is the Knights of Malta Military Roll and Situation In This Century specially after the year 2000  ?,10
475,How come when ever you did a hole there is never enough dirt to fill it back in?,2
476,Does the CIA own yahoo?,10
477,help with a spainish to english translation from Colombia- what does this say?,1
478,I can't find add contact on Yahoo Msg.  Think don't have.?,7
479,6th Wedding Anniversary - Any Ideas?,9
480,What kind of animal were the ANIMANIACS?,8
481,how about a index or table of contants of all on the web? too convienent??,7
482,i need help with using sparknotes.com. please click this q if you can help for more details. thanx?,4
483,want to see gross things?,7
484,will the raiders be a playoff contender next year and who will be thier starting qb?,6
485,What is the best free flash arcade on the internet?,5
486,what is the role of a nickname in a chat session?,4
487,What is the best disposable razor?,3
488,would women that are gay like sex?,7
489,Does north Korean speak the same language with south Korean ?,1
490,what is your favorite military movie?,10
491,what books to read and how to study for USMLE part2 medical licensing exam in USA?,4
492,Why do the jews need Palestine for themselves?,10
493,why some married couples watch sexy movies together ?,9
494,What is the best sports magazine?,6
495,What is the most abundant triatomic molecule in the Universe?,2
496,Date Riddle?,4
497,How much does the program Photoshop cost ( the newest version)?,5
498,How long has Yahoo! answers been out?,4
499,Why can't I think of any good questions?,7
500,How to you deal with a loud spoken bully in office?,7
501,"Taday is 31 December,is the last day of 2005!?",7
502,Why doesn't Hello Kitty have a mouth?,8
503,how can i work with the cleanup in new orleans from hurricaine katrina?,10
504,what is your worst nightmare?,7
505,what is the best free web based Email (other than Yahoo!)?,5
506,i want to make my pc email server how??,5
507,how do i get into a chatroom on yahoo?,7
508,How can I let this guy know that I like him and want to spend time with him w/o getting to close to fast?,7
509,hello dos eaney bodey know fo a alternative releaf for LUPUS sufferes thanks genuing question?,3
510,"Am I the only person who really, really hate clowns?",7
511,"What is that,that 62% of canadian women have done.Please reply as soon as possible.?",4
512,I'm tired.  It's 9:02pm.  Should I go to bed or stay up awhile?,3
513,I am very bored. What should I do?,7
514,Is there an allergy medication specifically for dog dander that's better than others?,3
515,Who do you think is the hottest celeb ever?,8
516,Why did the U.S. stop sending people to the moon?,2
517,i am looking for people in guatemala city?,9
518,Who is Jeff Palmer?,7
519,"I tried to update java and it would not go thur , do i need to reinstall it and how do i?",5
520,how do beta blocking hypertension meds work and explain the meaning of beta in this situation.?,2
521,what's your opinion about sexual relation between girls and boys?,9
522,What do you think of the U.S.'s economy?,7
523,what does fundamentalism mean?,7
524,"Will the Texas Rangers ever entice good pitchers, given that their ballpark is hitter friendly?",6
525,Whats the difference between gas operated and blowback operated Guns??,7
526,What are ways to relieve stress?,4
527,what is speed windsurfing?,6
528,What is the best hard disk defragmenter?,5
529,"Using CSS, how would I make an image glued to the bottom of the browser and centered?",5
530,I need a cv. in english?,7
531,"Which Cross Country Skis are better? Rossis, Fischer RCS, or Atomic beta?",6
532,"Is there an English equivalentto the German ""doch""?",1
533,need to find reserch about work ethics?,7
534,is there any web site where i can get free computer software books for download?,5
535,the price range for tickets for buffalo bills tickets at ralf wilson stadium?,6
536,Who shot Mr. Burns?,8
537,bankrates on money market funds?,7
538,"What is the answer to live, the universe and everything?",7
539,A party wins 30 million on a powerball jackpot. How much cash could he really get?,7
540,how long do u to wait in between popping knuckles?,7
541,What will Santa bring this year?,7
542,who is highest paid basketball player?,6
543,who was the longest driver on the PGA tour in the 1950's?,6
544,"in messenger, how would you know if a buddy's screen name is still active on your buddy list?",7
545,why do clouds turn dark when its about to rain?,2
546,Why old people always are complaining ?,3
547,what is inferred reality and class inclusion?,4
548,what is the answer to: P=2L + 2w for w ?,2
549,I want to become christian?,1
550,How much wood would a woodchuck chuck if a woodchuck could chuck wood?,7
551,What a son give best gift to his mother?,9
552,how would u drop a raw egg on a concrete floor without breaking it?,7
553,does a baby breath water inside the mothers womb?,4
554,Is Yahoo or Google a better resource for research? What is another good resource for academic research?,4
555,does the va pay for dental work?,3
556,Traffic Question: Can you change lanes across a double yellow line?,4
557,What is M&E services in a building?,7
558,"If I go 10 miles north, 4 miles east, 6 miles south, and then 7 miles west...?",2
559,how to become a perfect hardware engineer as i am undergoing btech in CSE in second year?,5
560,How can I get to watch TV programs around the world through internet? (For Free or not!)?,8
561,how can i win the megga millions lotto?,7
562,What is the main strip in Cancun?,7
563,where did name of day thursday come from?,4
564,"How do I get rid of the ""It's now safe to turn off your computer"" in WINDOWS XP?",5
565,How do you vote in Iraq?,10
566,How can we manufacture soap/detergent powder economically without electric power in a village?,2
567,what is shared video card memory?,5
568,at what age did you lose your virginty?,7
569,What rhymes with orange?,1
570,"republicans say we should ""stay the course"". isnt the translation of that phrase into japanese "" kamakaze""?",10
571,Why do users in Yahoo! 360 have almost no friends?,5
572,how can you tell if a frog is male or female?,2
573,What is the best search engine other than Google.com?,5
574,Any pittsburgh Pens fans out there?,6
575,what is 'answers.yahoo.com'?,5
576,tell me more about hannuka?,4
577,"If your boyfriend has a confederate flag in his bedroom, how do you ask him to take it down?",9
578,what is cabotage?,7
579,Do you believe in reincarnation?And why?,7
580,what does Imao stand for?,5
581,Which sign is the best mate for a Libra?,8
582,What ASAP mean?,7
583,what is the meaning of life?,7
584,What does it really mean to love somebody? How do you know if it's truly love what you feel for them?,9
585,non POSIX-compatible C functions?,5
586,"i dreamed that i am undressed in public , any one know what its mean?",8
587,What is the role of women in Educational Technology?,4
588,i have a problem wity program not responding?,5
589,can anybody tell a bit about mona lisa?,7
590,what is the best way to sell lyrics?,8
591,if a guy who is engaged keeping a platonic friend with a lady bt does nt tell her of hs being engaged is itBAD,9
592,"Can the electorial college override the majority of the vote? if so, why?",10
593,If super nova could be explained as a temperature what would it be?,2
594,what is the best fluid mechanics book in chemical engineering for a bachelor student?,2
595,Adding a Tivo to a wireless network?,5
596,Do you think Martin Brodeur best dys are behind him.?,6
597,how many ways can you spell tonight?,7
598,how is the RIAA catching individuals downloading pirated music?,5
599,Does a root canal treatment pose a potential health threat?,3
600,how do i plan a wedding?,9
601,what is 240x530=?,7
602,do you like soccer?,6
603,whats the best way to defend ourself?,7
604,how to produce good perfume?,7
605,Do you or anyone you know have Tourette Syndrome?,3
606,How much would you pay?,8
607,"Using the numbers 1, 3, 4, and 6, arrive at the number 24. no exponents or square roots.?",2
608,How'd a woman act?,9
609,"What is the best place, in this game called Maple Story, to train?",5
610,who invented sudoku?,4
